area,room,toilet,lat,long,price-VND,loai_bds-code
62,2,1,16.06838,108.19679,2500000000,16
173,0,0,16.02842,108.23742,5500000000,16
33,3,3,16.07356,108.22082,3300000000,15
98,0,0,15.97666,108.23353,1200000000,9
40,3,2,16.05448,108.18343,3900000000,16
55,0,0,16.07867,108.22043,8500000000,16
160,0,0,16.03149,108.23938,8600000000,16
125,3,3,16.0366,108.21528,7750000000,16
71,2,2,16.05406,108.2194,3480000000,15
141,0,0,16.04387,108.22051,9000000000,9
150,0,0,16.09512,108.13844,2875000000,7
88,0,0,16.04402,108.23856,5600000000,9
71,1,2,16.08011,108.21995,2300000000,0
56,0,0,16.08954,108.21764,3950000000,16
144,0,0,16.08328,108.22888,10185000000,9
102,0,0,16.03692,108.24453,12500000000,16
52,3,4,16.0597,108.21212,3400000000,16
65,0,0,16.05451,108.20975,3150000000,9
50,2,2,16.06504,108.17921,2480000000,15
109,0,0,16.10043,108.25233,3000000000,9
43,3,2,16.06746,108.19719,2800000000,15
150,0,0,16.02531,108.21319,1000000000,7
60,0,0,16.05085,108.24319,3100000000,9
70,3,3,16.05676,108.16851,3350000000,15
65,4,3,16.04258,108.214,4400000000,15
60,3,3,16.03867,108.21691,4700000000,16
120,3,6,16.03346,108.23031,14500000000,16
106,0,0,16.05255,108.23446,6900000000,9
92,0,0,16.04112,108.21221,5700000000,9
85,0,0,16.09447,108.23031,3700000000,9
100,0,0,16.02063,108.1965,7500000000,9
120,4,4,16.03346,108.23031,15000000000,14
100,0,0,15.97666,108.23353,1500000000,9
100,2,1,16.01412,108.19179,3050000000,16
43,3,3,16.03163,108.22407,4200000000,16
106,3,2,16.03795,108.24783,5627000000,0
120,0,0,16.1061,108.13558,1200000000,7
29,2,3,16.06997,108.21885,2230000000,15
51,1,1,16.0412,108.21048,1750000000,0
80,0,0,16.07507,108.16997,3300000000,16
50,2,2,16.06688,108.1799,2400000000,15
107,0,0,16.05103,108.17899,3700000000,16
150,0,0,16.08283,108.21394,12500000000,16
60,2,2,16.05655,108.24693,2200000000,0
90,3,3,16.05584,108.18582,4890000000,16
62,4,4,16.03086,108.22932,4450000000,15
80,0,0,16.08061,108.21562,7200000000,9
135,0,0,16.06166,108.24544,13500000000,16
91,0,0,16.00425,108.22051,4300000000,9
55,0,0,16.0789,108.21699,3390000000,16
75,2,2,16.03851,108.24755,4449000000,0
